,co_name,symbol,market,asset,co_site,amplitude,pe_s_d,co_intro,sc,prospectus,co_tel,exchange,co_addr,mv,equity,industry,turnover,oo,pb_MRQ
121,"Moleculin Biotech, Inc. Common Stock",MBRX,US,1.23,-,11.18%,-/-,-,0.56,-,-,NASDAQ,-,1367.28万,1775.70万,-,2.87%,-,0.71
122,Evogene Ltd,EVGN,US,3.25,-,0.19%,-/-,-,0.64,-,-,NYSE,-,1.36亿,2566.80万,-,-,-,1.57
123,正兴集团,ZX,US,7.13,http://www.zxwheel.com,7.53%,-/20.00,"正兴车轮集团有限公司（简称“正兴集团”）是商用车车轮生产及售后服务商，成立于2003年6月，专业从事各型汽车车轮的研发、生产与销售，在福建漳州（总部）、河北廊坊、四川成都、安徽合肥、辽宁本溪等地建有5家专业从事车轮制造的生产基地，产品以各类车型的钢制车轮为主，品种达230多个系列，市场营销网络覆盖全国31个省、直辖市、自治区，拥有销售网点4600余个，并远销海外30多个国家和地区。
    2011年5月12日正兴集团登陆登陆纽交所，发行价6美元。本次IPO发行1290万份ADS（1 ADS=4 普通股）, 其中公司新发行1161万份ADS，原持股股东献售129万份ADS，融资约7740万美元。摩根士丹利为其主承销商。",0.90,S1/F1,86-596-2600308,NYSE,漳州市金峰开发区北斗工业园（北环城国道319线73公里右侧）,9292.50万,5162.50万,中国汽车与汽车零部件,0.10%,6.00%,0.25
124,BLACKROCK MUNIYIELD ARIZ FD,MZA,US,14.32,-,0.03%,-/15.41,-,0.29,-,-,AMEX,-,6962.91万,461.10万,-,0.01%,3.63%,1.04
125,博实乐教育,BEDU,US,0.29,https://www.brightscholar.com,6.03%,-/-,"博实乐教育集团(原碧桂园教育)是中国最大的多元化教育集团之一。 首家学校1994年成立于广东顺德，目前在全国7个省份拥有K12国际学校6所，双语学校11所，幼儿园34所，并在北上深佛拥有16所培训学校，业务还包括海外游学、国内营地、教育科技等，总计超过30,000名在校生及6000名教职工。",-,S1/F1,（86）757-6683-2507,NYSE,广东佛山顺德区北郊镇乡村花园路1号528300,14.66亿,1.17亿,-,0.16%,-,45.17
126,AccuShares S&P GSCI Crude Oil Excess Return Down Shares,OILD,US,-,-,4.23%,-/-,-,-,-,-,NASDAQ,-,694.42万,35.00万,-,17.07%,-,-
127,日元波动率指数,JYVIX,US,-,-,-,-/-,-,-,-,-,INDEXCBOE,-,-,-,-,-,-,-
128,BANRO CORP,BAA,US,1.24,-,12.32%,-/-,-,1.21,-,-,AMEX,-,2792.04万,3.03亿,-,0.58%,53.66%,0.07
129,TANDY LEATHER FACTORY INC,TLF,US,5.97,-,4.15%,-/12.42,-,0.46,-,-,NASDAQ,-,7605.91万,927.60万,-,0.01%,60.24%,1.37
130,AXT,AXTI,US,4.27,http://www.axt.com,5.90%,-/36.58,"AXT, Inc. designs, develops, manufactures and distributes high-performance compound semiconductor substrates.",0.53,-,-,NASDAQ,-,2.68亿,3858.10万,-,1.04%,37.43%,1.63
131,BIO PATH HOLDINGS INC,BPTH,US,0.09,-,14.18%,-/-,-,24.90,-,-,NASDAQ,-,4036.23万,9564.50万,-,0.42%,19.00%,4.97
132,"TerraVia Holdings, Inc. Common Stock",TVIA,US,-0.71,-,12.90%,-/-,-,22.25,-,-,NASDAQ,-,3400.76万,1.08亿,-,0.89%,-,-0.43
133,WPCS International,WPCS,US,0.50,http://www.wpcs.com/,3.85%,-/-,"WPCS International Incorporated, a design-build engineering company, focuses on the implementation requirements of communications infrastructure worldwide. The company provides its engineering capabilities, including wireless communication, specialty construction, and electrical power to the public services, healthcare, energy, and corporate enterprise markets worldwide. WPCS International was founded in 2002 and is headquartered in Exton, Pennsylvania.",2.06,-,-,NASDAQ,-,435.78万,335.20万,-,0.26%,8.00%,2.60
134,卡骆驰,CROX,US,3.16,http://www.crocs.com,1.99%,20.69/-,Crocs(CROX)是一家总部位于美国科罗拉多州的鞋履设计、生产及零售商，以Crocs™品牌于市场上推出男装、女装及童装的舒适鞋款。创立于2002年，Crocs鞋子最初的产品定位是为帆船和户外运动者所设计的。然而，因为它具备舒适、实用和设计别具一格的特点，赢得了众多来自不同阶层、 职业和年龄消费者的青睐。到2003年，crocs已经掀起了一股席卷全球的风靡浪潮，变成了为全世界人们所热爱的，融入时尚和趣味的多功能crocs鞋子。在2006年2月， crocs在纳斯达克上市并创下了鞋类企业首次公开招股的首日股价上升最高纪录。,4.53,-,-,NASDAQ,-,4.84亿,7408.50万,纺织品/鞋类,0.75%,80.98%,2.07
135,MABVAX THERAPEUTIC COM USD,MBVX,US,0.53,-,12.03%,-/-,-,8.89,-,-,NASDAQ,-,1454.33万,870.90万,-,0.52%,-,3.15
136,ImmunoGen,IMGN,US,-1.88,-,5.02%,-/-,-,5.09,-,-,NASDAQ,-,4.45亿,8934.80万,生物技术,1.35%,97.92%,-2.65
137,Marin Software,MRIN,US,2.12,-,5.19%,-/-,"Marin Software 是一家市场营销平台服务商，提供搜索引擎优化、展示广告、社会化媒体营销等综合营销解决方案。

2013年2月13日，公司提交IPO申请，拟在纽交所上市融资7500万美元；高盛、德意志银行、瑞银和Stifel为联合承销商。",1.32,-,-,NYSE,-,5321.89万,3942.10万,-,0.13%,52.00%,0.64
138,RICHMONT MINES INC,RIC,US,2.42,-,6.71%,50.16/62.08,-,1.17,-,-,NYSE,-,4.71亿,6323.90万,-,0.96%,21.61%,3.08
139,"Biostage, Inc. Common Stock",BSTG,US,0.04,-,11.24%,-/-,-,2.13,-,-,NASDAQ,-,991.01万,3711.70万,-,1.98%,-,6.51
140,奥星制药,BSPM,US,13.72,http://www.aoxing-group.com,1.80%,-/-,"陕西奥星制药是以生产、销售中药材、中成药、西药、医药保健品、生物制品为主的跨省区经营的大型医药保健品公司。公司组建于1997年5月。
公司研制开发生产的五大类专科产品，深受患者信赖。肝病OTC用药奥星胶囊，全国零售额位居第九位；感王胶囊全国覆盖率达80%以上。公司研制开发生产七大类三十多种专科产品，深得患者信赖。
公司在世纪西路建设了建筑面积达12300平方米的奥星制药GMP生产基地。该项目是咸阳市秦都区重点建设项目，于2005年通过GMP认证并投入使用。",4.73,S1/F1,86-029-33685888,NASDAQ,陕西省咸阳市世纪西路,435.14万,263.72万,中国制药、生物科技和生命科学,0.20%,5.00%,0.12
141,南方航空,ZNH,US,33.50,http://www.csair.com,0.65%,9.63/509.14,"　中国南方航空股份有限公司根据中华人民共和国法律作为一个有限责任公司成立于1995年3月25日。中国南方航空股份有限公司是一家主要从事提供国内、港澳台地区及国际航空客运、货运及邮运服务的公司.公司是国内运输飞机最多、航线网络最密集、年客运量最大的航空公司之一.在全国共有15个分公司和5家控股子公司，在新加坡、东京、汉城、阿姆斯特丹等地设有多个国外办事处。公司是中国运输飞机最多、航线网络最发达、年客运量最大的航空公司。2010年，南航旅客运输量7646万人次，位列亚洲第一、全球第三，已连续32年居国内各航空公司之首,是亚洲唯一进入世界航空客运前五强，国内唯一连续6年进入世界民航客运前十强的航空公司。",0.71,-,86-20-86124462,NYSE,广东省广州市机场路278号,69.06亿,1.96亿,-,0.01%,0.34%,1.05
142,RAYONIER ADVANCED MATLS INC,RYAM,US,4.99,-,2.43%,12.99/10.88,-,15.23,-,-,NYSE,-,5.69亿,4322.10万,-,0.79%,88.00%,2.66
143,中国港股波动率指数,VXFXI,US,-,-,-,-/-,-,-,-,-,INDEXCBOE,-,-,-,-,-,-,-
144,GNC控股,GNC,US,-1.01,-,4.83%,15.25/-,GNC(General Nutrition Centers)是一家美国营养保健品连锁专卖公司，是美国保健品市场的领导者。GNC成立于1935年，销售渠道遍布全球48个国家，拥有5800多家连锁专卖店。,4.57,-,-,NYSE,-,5.10亿,6839.80万,-,2.50%,99.00%,-7.16
145,Ocular Therapeutix,OCUL,US,2.21,http://www.ocutx.com,4.19%,-/-,"Ocular Therapeutix is a biopharmaceutical company focused on the development and commercialization of innovative therapies for diseases and conditions of the eye using our proprietary hydrogel platform technology. Our bioresorbable hydrogel based product candidates are designed to provide sustained delivery of therapeutic agents to the eye. Our lead product candidates are the drug eluting punctum plugs OTX-DP and OTX-TP that are inserted into a natural opening called the punctum located in the inner portion of the eyelid near the nose. Our punctum plug product candidates combine our hydrogel technology with U.S. Food and Drug Administration, or FDA, approved therapeutic agents with the goal of providing sustained delivery of drug to the eye. In addition to our ongoing product development, we have recently launched our first commercial product, ReSure Sealant, a hydrogel based ophthalmic wound sealant approved by the FDA in January 2014 to close corneal incisions following cataract surgery. ReSure Sealant is the first and only surgical sealant to be approved by the FDA for ophthalmic use. In the pivotal clinical trials that formed the basis for FDA approval, ReSure Sealant provided superior wound closure and a better safety profile than sutured closure.",5.24,S1/F1,-,NASDAQ,-,2.98亿,2902.80万,-,2.56%,71.00%,4.64
146,B. RILEY FINANCIAL,RILY,US,8.40,-,2.17%,-/7.41,-,8.50,-,-,NASDAQ,-,2.70亿,1946.50万,-,0.19%,27.00%,1.65
147,DHX MEDIA LTD,DHXM,US,1.96,-,4.35%,28.16/27.06,-,3.86,-,-,NASDAQ,-,1.27亿,2771.10万,-,0.12%,-,2.22
148,鲈乡农村小额贷款,CCCR,US,0.07,http://www.chinacommercialcredit.com/Default.aspx,4.64%,-/-,吴江市鲈乡农村小额贷款股份有限公司2008年成立于江苏省吴江市，主要为中小企业、农村新型经济合作组织以及农户等生产经营发放贷款，同时为中小企业、个人申请商业银行贷款提供融资担保，是江苏省第一批试点小贷公司之一。2013年6月7日向美国SEC递交S1招股文件。,2.38,S1/F1,-,NASDAQ,-,3826.67万,1663.77万,中国金融,0.90%,1.00%,32.86
149,世纪互联,VNET,US,7.84,http://www.21vianet.com,3.76%,-/-,"上市公司世纪互联（21ViaNet）是世纪互联集团旗下运营IDC数据业务的子公司。世纪互联集团旗下拥有三家核心企业：世纪互联数据中心有限公司（21ViaNet）、世纪互联智慧能源系统技术有限公司（EnerGrid）、云快线科技有限公司（CloudEx）。被称为中国的Rackspace(NYSE:RAX)。

2011年4月21日，世纪互联以15美元的发行价在纳斯达克上市，发行115万ADS（1ADS=6普通股），IPO融资1.56亿美元。",3.14,S1/F1,010-8456 2121,NASDAQ,北京市朝阳区酒仙桥东路1号M5楼三层,6.30亿,1.14亿,中国互联网软件服务,0.61%,16.00%,0.71
150,VISTAGEN THERAPEUT COM USD0.001,VTGN,US,0.30,-,2.51%,-/0.16,-,1.14,-,-,NASDAQ,-,1707.71万,858.10万,-,0.32%,-,6.40
151,原油3X做空-VelocityShares,DWT,US,-,-,4.45%,-/-,DWT，VelocityShares旗下的原油三倍做空ETF，该ETF反向追踪S&P GSCI Crude Oil index Excess Return 指数，自带三倍杠杆，即S&P GSCI Crude Oil index Excess Return 指数下跌1%对应该ETF指数上涨约3%。注：S&P GSCI Crude Oil index Excess Return 指数标的包含WTI原油成分，由WTI原油期货合约组成。更多资料可查询：https://www.etf.com/DWT,-,-,-,NYSE,-,4952.41万,195.00万,-,85.75%,-,-
152,SEARS HOMETOWN & OUTLET STOR,SHOS,US,11.92,-,1.69%,-/-,-,21.20,-,-,NASDAQ,-,6701.26万,2271.60万,-,0.14%,62.00%,0.25
153,巴西国家钢铁,SID,US,1.87,-,5.24%,-/9.13,-,2.73,-,-,NYSE,-,29.14亿,13.88亿,钢铁冶炼,0.14%,4.59%,1.14
154,小金矿3X空-Direxion,JDST,US,-,-,14.27%,-/-,JDST，Direxion旗下的三倍做空小金矿ETF，该ETF自带三倍杠杆做空。反向追踪来自发达市场和新兴市场的初级开发黄金与白银矿业公司的指数，即该指数下跌1%对应该ETF指数上涨约3%。更多资料可查询：https://www.etf.com/JDST,-,-,-,NYSE,-,1.16亿,148.80万,-,337.00%,-,-
155,SunPower,SPWR,US,5.94,http://us.sunpowercorp.com/,7.63%,20.31/-,SunPower成立于1985年，公司总部位于加州的San Jose，于2005年在NASDAQ上市，是一家集开发、设计、生产和销售高效、高可靠性太阳能电池片、组件和系统为一体的光伏公司,4.80,-,-,NASDAQ,-,10.87亿,1.37亿,专用半导体,2.59%,41.68%,1.34
156,"NCS Multistage Holdings, Inc.",NCSM,US,-,-,10.34%,-/481.40,-,-,-,-,NASDAQ,-,10.48亿,4355.60万,-,0.39%,-,-
157,VOLITIONRX LTD,VNRX,US,0.81,-,6.77%,-/-,-,10.07,-,-,AMEX,-,1.01亿,2636.00万,-,0.07%,-,4.74
158,国家信息基础设施控股,NIHD,US,0.67,-,9.97%,-/-,-,4.28,-,-,NASDAQ,-,5360.17万,1.01亿,无线通信,0.30%,52.40%,0.79
159,恩普雷萨电力,EDN,US,0.52,-,2.84%,-/15.90,-,0.44,-,-,NYSE,-,6.85亿,2211.05万,公用电业,0.17%,-,59.62
160,Appian Corp,APPN,US,-1.97,-,7.42%,-/-,-,-,-,-,NASDAQ,-,1.07亿,-,-,-,-,-8.69
161,超导技术,SCON,US,1.92,-,4.89%,-/-,-,0.34,-,-,NASDAQ,-,1973.26万,1072.40万,通讯设备,1.26%,35.03%,0.96
162,Insys Therapeutics,INSY,US,3.71,-,4.54%,25.70/-,-,13.08,-,-,NASDAQ,-,9.53亿,7212.50万,-,0.73%,26.73%,3.56
163,APRICUS BIOSCIENCES INC,APRI,US,-0.97,-,3.85%,-/-,-,3.56,-,-,NASDAQ,-,1328.27万,1277.20万,-,1.34%,15.97%,-1.04
164,"Jounce Therapeutics, Inc. Common Stock",JNCE,US,5.54,-,2.28%,-/-,-,1.85,-,-,NASDAQ,-,7.07亿,3217.10万,-,0.25%,-,3.98
165,Startek,SRT,US,2.97,-,6.67%,-/79.21,-,1.63,-,-,NYSE,-,1.76亿,1589.90万,人事和外包服务,0.58%,35.83%,3.73
166,美光科技,MU,US,12.92,http://www.micron.com/,2.60%,7.96/-,美光科技是美国最大的电脑内存芯片厂商。通过全球化的运营，美光科技制造并向市场推出DRAM、NAND闪存、CMOS图像传感器、其它半导体组件以及存储器模块，用于前沿计算、消费品、网络和移动便携产品。,1.83,-,208-368-4000,NASDAQ,-,307.16亿,10.86亿,-,2.00%,100.05%,2.19
167,燃料电池能源,FCEL,US,2.56,http://www.fuelcellenergy.com,6.26%,-/-,"FuelCell Energy是一家综合燃料电池公司，处于行业领导地位，全球影响力不断提升。公司为基本荷载固定式燃料电池发电设计、制造、销售、安装和服务超净的、高效的固定式燃料电池。公司发电厂提供强大的场内电源和公用电网的支持,帮助客户解决他们的能源、环境和业务问题。Fuelcell能源公司最初是一家研究型公司, 于1969年在康涅狄格州成立,并于1992年公开交易。1999年，公司在特拉华州重组，2003年开始商业燃料发电厂的销售。公司的愿景是提供超净的,高效的,可靠的分布式基本荷载发电，每千瓦时成本少于输电网输电成本。与输电网输电价格相比，公司的发电厂提供的电力价格在某些高成本地区具有竞争力，其战略为继续降低成本,促进公司发电厂的广泛使用。",7.51,-,-,NASDAQ,-,3731.14万,4026.69万,工业电子器械,1.32%,25.00%,0.36
168,Trans World Entertainment,TWMC,US,5.48,-,1.21%,-/16.50,-,4.40,-,-,NASDAQ,-,5959.04万,3611.50万,-,0.01%,26.83%,0.30
169,HELIX BIOPHARMA CORP,HBP,US,2.75,-,5.41%,-/16.29,-,1.01,-,-,NASDAQ,-,1.77亿,2588.10万,-,0.48%,22.34%,2.49
170,"G1 Therapeutics, Inc",GTHX,US,-54.88,-,2.96%,-/-,-,-,-,-,NASDAQ,-,4.54亿,2741.40万,-,0.16%,-,-0.30
171,阿特斯太阳能,CSIQ,US,15.30,http://www.csisolar.com,5.76%,6.24/5.53,"CSI阿特斯 (Canadian Solar Inc.)，是在一家加拿大注册的光伏公司。公司致力于将太阳能转换为电能的光伏产品的研发、制造、销售和售后服务。自2001年以来，CSI阿特斯先后在中国建立了三家独资企业：CSI阿特斯光伏电子（常熟）有限公司，CSI阿特斯光伏科技（苏州）有限公司，CSI阿特斯太阳能光电（苏州）有限公司。ＣＳＩ阿特斯为全球客户生产在住宅、商用、工业等领域有着广泛应用的太阳能光伏产品及太阳能发电应用产品，同时还以公司的专业品牌为汽车行业、通讯行业等特殊市场提供太阳能光伏产品的解决方案，CSI阿特斯也为世界领先的太阳能光伏厂商进行OEM加工。
CSI阿特斯太阳能公司（Canadian Solar Inc.）于2006年11月9日正式在美国纳斯达克挂牌上市,发行价每股15美元。",4.46,S1/F1,86-512-66908088,NASDAQ,中国江苏苏州高新区鹿山路199号,7.43亿,5596.54万,中国新能源,2.94%,48.66%,0.87
172,ADMA Biologics Inc,ADMA,US,-0.35,-,9.19%,-/-,-,2.47,-,-,NASDAQ,-,4742.32万,1288.70万,-,0.09%,74.00%,-10.51
173,恐慌指数(90天),VXV,US,-,-,-,-/-,-,-,-,-,INDEXCBOE,-,-,-,-,-,-,-
174,BARCLAYS BK PLC,CHOC,US,-,-,0.62%,-/-,-,-,-,-,NYSE,-,512.34万,16.30万,-,1.45%,-,-
175,Top Image Systems ,TISA,US,1.02,-,5.51%,-/-,-,0.61,-,-,NASDAQ,-,2277.39万,1793.20万,-,0.04%,13.97%,1.25
176,Innodata Inc.,INOD,US,1.28,-,9.09%,-/-,-,1.49,-,-,NASDAQ,-,4269.78万,2587.70万,网络软件及服务,0.12%,22.88%,1.29
177,金价波动率指数,GVZ,US,-,-,-,-/-,-,-,-,-,INDEXCBOE,-,-,-,-,-,-,-
178,赛门铁克,SYMC,US,5.74,-,2.10%,13.11/9.03,赛门铁克公司是互联网安全技术的全球领导厂商，为企业、个人用户和服务供应商提供广泛的内容和网络安全软件及硬件的解决方案。公司是从客户端、网关及服务器安全解决方案的领导厂商，向全球的企业及服务供应商提供包括：病毒防护、防火墙、虚拟个人网络（VPN）、风险管理、入侵检测、互联网内容及电子邮件过滤、远程管理技术及安全服务等。赛门铁克旗下的诺顿品牌是个人安全产品全球零售市场的领导者，在行业中屡获奖项。 赛门铁克公司总部设在加里弗尼亚的Cupertino，现已在36个国家设有分支机构。旗下有著名个人杀毒软件产品诺顿,3.96,-,-,NASDAQ,-,185.72亿,6.23亿,安全软件与服务,1.01%,83.88%,5.19
179,Bio Blast Pharma ,ORPN,US,0.53,http://www.bioblast-pharma.com,16.48%,-/-,"Bio Blast Pharma is a development-stage biopharmaceutical company focused on the identification, licensing, acquisition, development and commercialization of drugs for rare and ultra-rare genetic diseases. We seek to identify therapeutic platforms that offer solutions for several diseases that share a common pathophysiological mechanism, which are the functional changes that accompany a particular syndrome or disease. ",1.74,S1/F1,-,NASDAQ,-,783.53万,1639.20万,生物技术,0.13%,27.00%,0.90
180,奥盛创新,OSN,US,13.69,http://www.ossengroup.com,1.80%,-/6.59,奥盛创新是奥盛集团旗下子公司，奥盛集团成立于2002年，是钢铁、投资、房地产三业并举的企业集团。奥盛创新主营业务为生产、销售预应力钢材产品（Prestressed steel products），产品包括素面、稀土涂层、镀锌预应力钢材等，参与项目主要为铁路工程，高速公路，桥梁建设。2009年奥盛创新营收已超过1亿美元。12月22日，奥胜创新在纳斯达克挂牌交易，发行价为每ADS 4.5美元，其中1ADS=1普通股，共募集资金2250万美元。,0.77,S1/F1,(86) 021-68888886,NASDAQ,上海市商城路518号（内外联大厦）16-17楼,1480.55万,660.96万,中国金属与采矿,0.09%,6.00%,0.16
181,能源股3X空-Direxion,ERY,US,-,-,1.88%,-/-,-,-,-,-,NYSE,-,3968.83万,318.70万,-,18.44%,-,-
182,Tempur Sealy,TPX,US,-0.33,-,3.11%,16.49/13.85,-,7.44,-,-,NYSE,-,25.15亿,5389.70万,家具及配件,1.78%,96.17%,-141.42
183,TAILORED BRANDS INC COM USD0.01,TLRD,US,-2.21,-,9.79%,-/21.43,-,5.87,-,-,NYSE,-,5.36亿,4904.80万,-,3.86%,100.81%,-4.95
184,Cellect Biotechnology Ltd. American Depositary Shares,APOP,US,1.46,-,6.11%,-/55.88,-,0.28,-,-,NASDAQ,-,5151.57万,542.27万,-,0.50%,-,6.51
185,TRILLIUM THERAPEUTICS INC,TRIL,US,2.44,-,1.77%,-/-,-,4.82,-,-,NASDAQ,-,4432.53万,784.50万,-,0.16%,-,2.32
186,Match Group,MTCH,US,2.17,-,1.22%,-/28.90,-,12.25,-,-,NASDAQ,-,49.49亿,2.52亿,-,0.34%,-,9.06
187,Altisource,ASPS,US,3.85,-,3.49%,4.13/23.11,-,10.15,-,-,NASDAQ,-,3.75亿,1843.20万,物业管理,0.99%,80.00%,5.28
188,"Staffing 360 Solutions, Inc.",STAF,US,0.84,-,7.38%,-/-,-,0.27,-,-,NASDAQ,-,951.73万,1464.20万,-,1.06%,-,0.77
189,卢比饭店,LUB,US,5.09,-,4.76%,127.12/-,-,8.07,-,-,NYSE,-,7331.14万,2909.20万,饭店,0.09%,47.65%,0.50
190,Dynatronics,DYNT,US,0.56,-,3.23%,-/-,-,0.52,-,-,NASDAQ,-,1141.76万,368.30万,医疗器械设备,0.37%,0.22%,5.54
191,原油2X做空-DB,DTO,US,-,-,2.16%,-/-,"DTO,ProShares旗下的原油两倍做空ETF。该ETF价格与纳斯达克100指数波动方向相反，波动幅度是纳斯达克100指数的3倍，即纳斯达克100指数下跌1%对应该ETF指数上涨约3%。更多资料可查询：https://www.etf.com/DTO",-,-,-,NYSE,-,4225.20万,35.00万,-,2.21%,-,-
